#,Species,Type1,Type2,Total,HP,Atk,Def,SpA,SpD,Spe,Generation,Legendary
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,False
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False
4,Charmander,Fire,Null,309,39,52,43,60,50,65,1,False
5,Charmeleon,Fire,Null,405,58,64,58,80,65,80,1,False
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False
7,Squirtle,Water,Null,314,44,48,65,50,64,43,1,False
8,Wartortle,Water,Null,405,59,63,80,65,80,58,1,False
9,Blastoise,Water,Null,530,79,83,100,85,105,78,1,False
10,Caterpie,Bug,Null,195,45,30,35,20,20,45,1,False
11,Metapod,Bug,Null,205,50,20,55,25,25,30,1,False
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,False
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,False
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,False
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,False
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,False
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,False
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,False
19,Rattata,Normal,Null,253,30,56,35,25,35,72,1,False
20,Raticate,Normal,Null,413,55,81,60,50,70,97,1,False
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,False
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,False
23,Ekans,Poison,Null,288,35,60,44,40,54,55,1,False
24,Arbok,Poison,Null,438,60,85,69,65,79,80,1,False
25,Pikachu,Electric,Null,320,35,55,40,50,50,90,1,False
26,Raichu,Electric,Null,485,60,90,55,90,80,110,1,False
27,Sandshrew,Ground,Null,300,50,75,85,20,30,40,1,False
28,Sandslash,Ground,Null,450,75,100,110,45,55,65,1,False
29,Nidoran♀,Poison,Null,275,55,47,52,40,40,41,1,False
30,Nidorina,Poison,Null,365,70,62,67,55,55,56,1,False
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,False
32,Nidoran♂,Poison,Null,273,46,57,40,40,40,50,1,False
33,Nidorino,Poison,Null,365,61,72,57,55,55,65,1,False
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,False
35,Clefairy,Normal,Null,323,70,45,48,60,65,35,1,False
36,Clefable,Normal,Null,483,95,70,73,95,90,60,1,False
37,Vulpix,Fire,Null,299,38,41,40,50,65,65,1,False
38,Ninetales,Fire,Null,505,73,76,75,81,100,100,1,False
39,Jigglypuff,Normal,Null,270,115,45,20,45,25,20,1,False
40,Wigglytuff,Normal,Null,435,140,70,45,85,50,45,1,False
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,False
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,False
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,False
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,False
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,False
46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,False
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,False
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,False
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,False
50,Diglett,Ground,Null,265,10,55,25,35,45,95,1,False
51,Dugtrio,Ground,Null,405,35,80,50,50,70,120,1,False
52,Meowth,Normal,Null,290,40,45,35,40,40,90,1,False
53,Persian,Normal,Null,440,65,70,60,65,65,115,1,False
54,Psyduck,Water,Null,320,50,52,48,65,50,55,1,False
55,Golduck,Water,Null,500,80,82,78,95,80,85,1,False
56,Mankey,Fighting,Null,305,40,80,35,35,45,70,1,False
57,Primeape,Fighting,Null,455,65,105,60,60,70,95,1,False
58,Growlithe,Fire,Null,350,55,70,45,70,50,60,1,False
59,Arcanine,Fire,Null,555,90,110,80,100,80,95,1,False
60,Poliwag,Water,Null,300,40,50,40,40,40,90,1,False
